# DE2000               RA2000                HD         Pol      e_Pol                  PA      e_PA   GLON       GLAT       E_B-V_   Vmag   Dist      PolRefs                 
  -85.66319999999999   134.17451999999997    79837.0    0.04     0.035                  107.3   23.6   298.8505   -24.8156   0.0      5.4    70.0      0000000000001000000000  
  -84.76959999999998   24.365744999999997    11025.0    0.03     0.035                  48.0    30.3   301.6999   -32.2481   -0.1     5.7    79.4      0000000000001000000000  
  -82.68299999999999   323.47696499999995    203532.0   1.29     0.035                  129.1   0.8    309.459    -31.7396   0.4      6.4    363.0     0000000000001000000000  
  -82.47049999999999   74.71244999999999     34172.0    0.14     0.035                  145.0   7.1    295.2281   -30.4686   0.0      5.8    302.0     0000000000001000000000  
  -81.9211             157.96562999999998    92029.0    0.55     0.035                  142.8   1.8    298.0108   -20.4182   0.0      7.1    302.0     0000000000001000000000  
  -80.54019999999998   161.44639499999997    93845.0    0.08     0.035                  68.1    12.3   297.7351   -18.9624   0.0      4.4    155.0     0000000000001000000000  
  -80.10889999999999   215.59664999999998    124771.0   0.67     0.035                  111.6   1.5    306.9338   -17.9513   0.1      5.1    191.0     0000000000001000000000  
  -79.78329999999998   160.46489999999997    93237.0    0.74     0.035                  137.2   1.4    297.1847   -18.3887   0.1      6.0    211.0     0000000000001000000000  
  -79.10919999999999   37.917165             16522.0    0.012    0.0080                 152.7   18.4   297.1907   -36.8768   ""       5.3    70.0      0000000100000000000000  
  -78.82079999999999   83.90055              38602.0    0.34     0.035                  150.3   2.9    290.6802   -30.2246   0.0      6.0    120.2     0000000000001000000000  
  -78.77149999999999   338.85983999999996    213402.0   0.13     0.035                  146.9   7.7    310.6889   -36.2229   0.2      6.1    87.1      0000000000001000000000  
  -77.9176             234.82757999999998    138289.0   0.16     0.035                  68.5    6.2    311.3905   -17.901    0.0      6.2    416.9     0000000000001000000000  
  -77.82529999999998   179.647305            104036.0   0.0090   0.0040                 90.7    11.0   300.0683   -15.2485   0.02     6.7    80.0      0010000000000000000000  
  -77.5846             16.38036              6783.0     0.35     0.035                  112.0   2.9    301.9512   -39.5168   0.1      7.4    275.4     0000000000001000000000  
  -77.255              6.413339999999999     2151.0     0.05     0.035                  145.9   19.3   304.7788   -39.7806   0.0      2.8    6.3       0000000000001000000000  
  -77.0546             175.38547499999999    101727.0   0.015    0.026000000000000002   140.3   41.8   298.9437   -14.7273   0.0      6.9    51.0      0010000000000000000000  
  -77.02199999999999   71.52830999999999     31378.0    0.038    0.024000000000000004   94.5    17.5   289.6716   -33.2481   ""       8.7    ""        0000000000100000000000  
  -76.73069999999998   1.8019949999999998    276.0      0.025    0.014000000000000002   117.1   15.6   306.2318   -40.1128   0.0      7.7    80.0      0000000000100000000000  
